"u,N,18,0","v,N,18,0","key,N,18,0","osmid,C,80","oneway,N,9,0","lanes,C,80","name,C,80","highway,C,80","maxspeed,C,80","length,N,24,15","from,N,18,0","to,N,18,0","ref,C,80","bridge,C,80","tunnel,C,80","junction,C,80","access,C,80"
3247349768,1753954523,0,340322608,1,2,Calle Do??a Rosa,residential,40,15.422,1753954523,3247349768,,,,,
414231200,442761704,0,370644911,1,2,Avenida Ayacucho,secondary,40,15.028,414231200,442761704,,,,,
414231200,1753954523,0,340322606,1,2,Avenida Ayacucho,secondary,50,18.419,1753954523,414231200,,,,,
1273976491,1603977566,0,320742861,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,25.081,1273976491,1603977566,,,,,
1273976491,5476735786,0,430592329,0,2,Avenida Paseo la Castellana,tertiary,40,118.539,5476735786,1273976491,,,,,
1273976491,1839151881,0,320742861,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,68.077,1839151881,1273976491,,,,,
1273716886,1839151881,0,513658405,0,2,Jir??n Punta Sal,residential,,15.86,1839151881,1273716886,,,,,
1273716886,1273678681,0,513658406,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,94.295,1273716886,1273678681,,,,,
1273716886,5476735789,0,111936779,0,2,Jir??n Punta Sal,residential,,143.824,5476735789,1273716886,,,,,
4201360353,3245299628,0,318148699,1,2,Avenida Santiago de Surco,secondary,40,15.431,4201360353,3245299628,,,,,
4201360353,4201360354,0,420152233,1,2,Avenida Surco,secondary,40,126.872,4201360353,4201360354,,,,,
4201360353,4335826688,0,318148699,1,2,Avenida Santiago de Surco,secondary,40,172.93,4335826688,4201360353,,,,,
4354297689,4354297690,0,512912546,1,2,Avenida Surco,secondary,40,16.909,4354297689,4354297690,,,,,
4354297689,4334107396,0,"[345763048, 512352294]",1,3,Avenida Santiago de Surco,primary,"['40', '60']",346.822,4354297689,4334107396,,,,,
4354297689,3245299628,0,512912546,1,2,Avenida Surco,secondary,40,9.735,3245299628,4354297689,,,,,
316069882,7728715334,0,28746607,1,2,Avenida Surco,secondary,40,36.417,316069882,7728715334,,,,,
316069882,3150149345,0,28746610,0,2,Avenida Surco,tertiary,40,10.485,3150149345,316069882,,,,,
316069882,7728715333,0,420152233,1,2,Avenida Surco,secondary,40,39.407,7728715333,316069882,,,,,
